         373333 function calls (372713 primitive calls) in 2.489 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     60/1    0.016    0.000    2.490    2.490 {built-in method builtins.exec}
        1    0.001    0.001    2.490    2.490 systemd_service_mon.py:7(<module>)
        1    0.001    0.001    2.348    2.348 systemd_service_mon.py:535(main)
       19    0.583    0.031    1.096    0.058 systemd_service_mon.py:411(get_io_usage)
       19    0.002    0.000    0.940    0.049 systemd_service_mon.py:356(__init__)
       19    0.000    0.000    0.703    0.037 __init__.py:332(wrapper)
       19    0.035    0.002    0.700    0.037 __init__.py:873(children)
     4734    0.038    0.000    0.644    0.000 __init__.py:1430(process_iter)
     9185    0.039    0.000    0.428    0.000 __init__.py:373(__init__)
     9185    0.125    0.000    0.388    0.000 __init__.py:376(_init)
     4451    0.055    0.000    0.303    0.000 __init__.py:580(is_running)
     4715    0.040    0.000    0.267    0.000 __init__.py:1444(add)
       19    0.001    0.000    0.196    0.010 __init__.py:969(cpu_percent)
       19    0.192    0.010    0.192    0.010 {built-in method time.sleep}
     9185    0.052    0.000    0.180    0.000 __init__.py:721(create_time)
    52709    0.168    0.000    0.168    0.000 {method 'split' of 'str' objects}
       20    0.001    0.000    0.146    0.007 systemd_service_mon.py:461(get_pid)
     43/6    0.001    0.000    0.141    0.024 <frozen importlib._bootstrap>:966(_find_and_load)
       11    0.000    0.000    0.141    0.013 subprocess.py:275(check_output)
     43/6    0.001    0.000    0.141    0.023 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
       11    0.001    0.000    0.140    0.013 subprocess.py:352(run)
        1    0.001    0.001    0.140    0.140 systemd_service_mon.py:313(setup)
        2    0.000    0.000    0.137    0.069 subprocess.py:239(call)
     9301    0.044    0.000    0.136    0.000 _pslinux.py:1081(wrapper)
     43/6    0.001    0.000    0.135    0.023 <frozen importlib._bootstrap>:659(_load_unlocked)
       26    0.000    0.000    0.135    0.005 subprocess.py:1349(wait)
       13    0.000    0.000    0.134    0.010 subprocess.py:1336(_try_wait)
       13    0.134    0.010    0.134    0.010 {built-in method posix.waitpid}
     29/6    0.000    0.000    0.134    0.022 <frozen importlib._bootstrap_external>:667(exec_module)
     63/6    0.000    0.000    0.130    0.022 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
    53990    0.129    0.000    0.129    0.000 {method 'format' of 'str' objects}
    56718    0.121    0.000    0.121    0.000 {method 'startswith' of 'str' objects}
       11    0.001    0.000    0.119    0.011 subprocess.py:761(communicate)
       49    0.117    0.002    0.117    0.002 {method 'read' of '_io.BufferedReader' objects}
    52772    0.108    0.000    0.108    0.000 {method 'strip' of 'str' objects}
     9185    0.059    0.000    0.086    0.000 _pslinux.py:1249(create_time)
        1    0.000    0.000    0.083    0.083 __init__.py:10(<module>)
  227/110    0.001    0.000    0.072    0.001 <frozen importlib._bootstrap>:996(_handle_fromlist)
      6/3    0.000    0.000    0.071    0.024 {built-in method builtins.__import__}
     9185    0.043    0.000    0.065    0.000 _pslinux.py:1102(__init__)
14033/14014    0.034    0.000    0.042    0.000 _common.py:290(wrapper)
    18370    0.037    0.000    0.037    0.000 __init__.py:604(pid)
       19    0.000    0.000    0.036    0.002 __init__.py:1404(pids)
       19    0.001    0.000    0.036    0.002 _pslinux.py:1067(pids)
     4451    0.025    0.000    0.034    0.000 __init__.py:441(__eq__)
        1    0.000    0.000    0.032    0.032 _pslinux.py:5(<module>)
